Age,Sex,Education,Country,Ethnicity,Neuroticism,Extraversion,Openness,Agreeableness,Conscientiousness,Impulsivness,Sensation Seeing,Alcohol,Amphetamines,Amyl Nitrite,Benzodiazepine,Caffeine,Canabis,Chocolate,Cocaine,Crack,Ecstasy,Heroin,Ketamine,Legal Highs,LSD,Methadone,Mushrooms,Nicotine,Semer,VSA
45-54,Male,Professional certificate/ diploma,Other,White,Average,Average,Average,Low,Average,Average,Average,Used in Last Year,Used in Last Decade,Used in Last Decade,Used in Last Year,Used in Last Day,Used in Last Day,Used in Last Week,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Used over a Decade Ago
25-34,Female,University degree,Canada,White,Average,Average,Average,Average,Low,Average,High,Used in Last Day,Used in Last Decade,Used in Last Decade,Used in Last Year,Used in Last Month,Used in Last Year,Used in Last Week,Used in Last Year,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Year,Used over a Decade Ago,Never Used,Never Used
18-24,Male,Left school before 18 years,USA,Other,Average,Low,Low,Average,Average,Average,Average,Used in Last Week,Used in Last Day,Never Used,Never Used,Used in Last Day,Used in Last Week,Used in Last Month,Used in Last Week,Never Used,Used in Last Month,Never Used,Never Used,Used in Last Year,Used in Last Year,Never Used,Used in Last Year,Used in Last Day,Never Used,Never Used
18-24,Male,"Some college or university, no certificate or degree",USA,White,Average,Average,High,Average,Average,Average,High,Used in Last Week,Used in Last Year,Never Used,Used in Last Year,Used in Last Month,Used in Last Week,Used in Last Month,Used in Last Month,Never Used,Used in Last Decade,Used in Last Year,Never Used,Used in Last Year,Used in Last Decade,Used in Last Year,Used in Last Decade,Used in Last Year,Never Used,Never Used
25-34,Female,Doctorate degree,UK,White,Average,Average,Average,Average,High,Average,Average,Used in Last Week,Never Used,Never Used,Used in Last Decade,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
25-34,Male,Left school before 18 years,Australia,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Month,Used in Last Week,Used in Last Month,Used in Last Week,Used in Last Day,Used in Last Decade,Used in Last Month,Used in Last Month,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Year,Used in Last Decade,Never Used,Used in Last Year,Used in Last Day,Never Used,Never Used
25-34,Male,"Some college or university, no certificate or degree",USA,White,Average,Low,Average,Average,High,Average,Average,Used in Last Week,Never Used,Never Used,Used in Last Week,Used in Last Month,Used in Last Week,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Used in Last Week,Used in Last Year,Used over a Decade Ago,Never Used,Never Used
35-44,Male,University degree,USA,White,Average,Average,Average,Average,Low,High,High,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Year,Used in Last Day,Used in Last Year,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Year,Never Used,Never Used,Used in Last Month,Used in Last Year,Never Used,Used over a Decade Ago
25-34,Male,University degree,USA,White,Average,Average,High,Average,Average,Average,Average,Used in Last Week,Used over a Decade Ago,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Day,Never Used,Never Used,Used in Last Month,Never Used,Never Used,Used in Last Decade,Used in Last Month,Never Used,Used in Last Month,Used over a Decade Ago,Never Used,Never Used
18-24,Male,Left school at 18 years,USA,White,Average,Average,High,Average,Low,Average,Average,Used in Last Day,Used in Last Decade,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Used in Last Year,Used in Last Year,Used in Last Decade,Never Used,Never Used
45-54,Male,Professional certificate/ diploma,USA,White,Average,Average,Average,Low,Low,Average,Average,Used in Last Week,Used in Last Day,Used in Last Decade,Used in Last Year,Used in Last Day,Used in Last Decade,Used in Last Day,Used over a Decade Ago,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Year,Used in Last Decade,Used over a Decade Ago,Never Used,Never Used
35-44,Female,University degree,USA,White,Low,High,High,High,Average,Average,Average,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Year,Used in Last Day,Used in Last Decade,Never Used,Used in Last Decade,Used over a Decade Ago,Used in Last Decade,Never Used,Used over a Decade Ago,Never Used,Used in Last Decade,Used in Last Week,Never Used,Never Used
35-44,Male,"Some college or university, no certificate or degree",USA,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Year,Never Used,Never Used,Used in Last Week,Used in Last Day,Used in Last Day,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Used in Last Day,Used in Last Decade,Used in Last Day,Never Used,Used over a Decade Ago
18-24,Male,"Some college or university, no certificate or degree",USA,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Week,Used in Last Year,Never Used,Used in Last Year,Used in Last Day,Used in Last Day,Used in Last Week,Used in Last Year,Never Used,Used in Last Year,Used in Last Month,Used in Last Year,Used in Last Decade,Never Used,Used in Last Year,Used in Last Decade,Used in Last Year,Never Used,Used in Last Year
18-24,Female,"Some college or university, no certificate or degree",USA,White,Average,Average,High,Average,Average,Low,Average,Used in Last Month,Never Used,Never Used,Used in Last Year,Used in Last Day,Used in Last Day,Used in Last Day,Never Used,Never Used,Used in Last Decade,Never Used,Never Used,Used in Last Decade,Used in Last Decade,Never Used,Never Used,Used in Last Year,Never Used,Used in Last Decade
18-24,Male,"Some college or university, no certificate or degree",USA,Other,Average,Average,Average,Average,High,Average,Average,Used in Last Month,Used in Last Week,Never Used,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Day,Used over a Decade Ago,Used in Last Year,Used in Last Year,Used in Last Year,Used in Last Decade,Used in Last Year,Used in Last Year,Used in Last Year,Used in Last Day,Never Used,Never Used
25-34,Male,Masters degree,USA,White,Average,Average,Average,Average,High,High,High,Used in Last Day,Used in Last Day,Never Used,Never Used,Used in Last Day,Used in Last Month,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used,Used in Last Week,Never Used,Never Used
18-24,Male,"Some college or university, no certificate or degree",USA,Other,Low,Average,Average,Average,Average,Average,Average,Used in Last Year,Used in Last Year,Never Used,Never Used,Used in Last Day,Used in Last Month,Used in Last Week,Never Used,Never Used,Used in Last Month,Never Used,Never Used,Used in Last Month,Used in Last Month,Used in Last Decade,Used in Last Year,Never Used,Never Used,Never Used
18-24,Male,"Some college or university, no certificate or degree",Other,White,Average,Average,Average,Low,Average,Low,Average,Used in Last Week,Used in Last Decade,Never Used,Used in Last Day,Used in Last Decade,Used in Last Year,Used in Last Week,Used in Last Year,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Week,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used
25-34,Female,"Some college or university, no certificate or degree",USA,White,Average,Average,Average,High,Average,High,Average,Used in Last Week,Never Used,Never Used,Used in Last Year,Used in Last Day,Used in Last Decade,Used in Last Week,Used over a Decade Ago,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used
25-34,Female,Masters degree,USA,White,High,Average,High,Low,Low,High,High,Used in Last Month,Used in Last Day,Never Used,Used in Last Month,Used in Last Day,Used in Last Month,Used in Last Day,Used in Last Month,Never Used,Used over a Decade Ago,Used in Last Year,Used over a Decade Ago,Used in Last Month,Used over a Decade Ago,Used in Last Month,Never Used,Used in Last Year,Never Used,Used in Last Decade
18-24,Male,"Some college or university, no certificate or degree",USA,White,Average,Average,Average,Average,Average,Average,Low,Never Used,Used in Last Year,Never Used,Used in Last Month,Used in Last Day,Used in Last Day,Used in Last Year,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Used in Last Year,Used in Last Day,Used in Last Year,Never Used,Never Used,Never Used
18-24,Male,"Some college or university, no certificate or degree",USA,White,Average,Low,Average,Average,Average,Average,Average,Used in Last Decade,Never Used,Never Used,Never Used,Used in Last Year,Used in Last Day,Used in Last Day,Never Used,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Never Used,Never Used
25-34,Male,"Some college or university, no certificate or degree",Other,White,High,Average,Average,Average,Low,Average,Average,Used in Last Week,Used in Last Year,Used in Last Decade,Used in Last Year,Used in Last Day,Used in Last Month,Used in Last Day,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Used in Last Decade,Used in Last Year,Used in Last Year,Never Used,Never Used
25-34,Female,Professional certificate/ diploma,Australia,White,Average,Average,Average,High,Average,Average,Average,Used in Last Day,Used in Last Year,Used in Last Decade,Used in Last Year,Used in Last Day,Used in Last Month,Used in Last Day,Used in Last Year,Never Used,Used in Last Year,Never Used,Used in Last Month,Used in Last Month,Used in Last Month,Used in Last Year,Used in Last Month,Used in Last Week,Never Used,Never Used
18-24,Male,University degree,USA,White,Average,High,Average,Average,High,Average,Average,Used in Last Week,Used in Last Year,Never Used,Used in Last Year,Used in Last Day,Used in Last Day,Used in Last Week,Never Used,Never Used,Used in Last Month,Never Used,Used in Last Month,Used in Last Year,Used in Last Year,Never Used,Used in Last Year,Never Used,Never Used,Never Used
45-54,Male,Left school before 18 years,USA,White,Average,Low,Average,Average,Average,Average,Average,Used in Last Month,Used over a Decade Ago,Never Used,Used in Last Week,Used in Last Day,Used in Last Week,Used in Last Month,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago
18-24,Male,"Some college or university, no certificate or degree",USA,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Week,Used in Last Week,Never Used,Used in Last Year,Used in Last Day,Used in Last Week,Used in Last Week,Never Used,Never Used,Used in Last Year,Used in Last Year,Never Used,Used in Last Month,Never Used,Used in Last Month,Never Used,Used in Last Day,Never Used,Used in Last Year
18-24,Male,"Some college or university, no certificate or degree",Other,White,Low,Average,Average,Average,Average,High,Average,Used in Last Day,Never Used,Never Used,Used in Last Decade,Used in Last Week,Used in Last Month,Used in Last Day,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Week,Never Used,Never Used,Used in Last Year,Used in Last Month,Never Used,Never Used
25-34,Female,University degree,UK,White,High,Average,Average,Average,Average,Average,Average,Used in Last Week,Never Used,Used in Last Decade,Never Used,Used in Last Day,Used in Last Year,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Used over a Decade Ago
55+,Female,Doctorate degree,USA,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Day,Used over a Decade Ago,Used in Last Decade,Used in Last Decade,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Decade,Used over a Decade Ago,Used in Last Decade,Used over a Decade Ago,Used over a Decade Ago,Used in Last Week,Used in Last Decade,Never Used,Used in Last Year,Used in Last Day,Never Used,Never Used
18-24,Male,"Some college or university, no certificate or degree",Canada,White,Low,High,Average,Average,Average,High,Average,Used in Last Month,Used in Last Month,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Week,Used in Last Day,Never Used,Used in Last Month,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Year,Used in Last Day,Never Used,Never Used
18-24,Male,Masters degree,USA,White,Low,Average,Average,High,Average,Average,Average,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Week,Used in Last Week,Used in Last Decade,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Decade,Used in Last Year,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
18-24,Female,"Some college or university, no certificate or degree",USA,White,Average,Average,Average,Average,Low,High,High,Used in Last Year,Used in Last Day,Used in Last Decade,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Used in Last Month,Used in Last Month,Never Used,Used in Last Decade,Never Used,Used in Last Month,Never Used,Never Used
18-24,Male,Left school at 18 years,Canada,White,High,Low,Average,Average,Low,High,High,Used in Last Day,Used in Last Day,Used in Last Decade,Used in Last Week,Used in Last Month,Used in Last Day,Used in Last Month,Used in Last Year,Used in Last Decade,Used in Last Year,Never Used,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Year,Used in Last Day,Never Used,Never Used
18-24,Male,"Some college or university, no certificate or degree",USA,White,Low,High,High,High,Average,Average,Average,Used in Last Week,Used in Last Year,Never Used,Never Used,Used in Last Month,Used in Last Week,Used in Last Month,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Year,Used in Last Year,Never Used,Never Used,Used in Last Week,Never Used,Never Used
35-44,Male,University degree,USA,White,Average,Average,Average,Low,Average,Average,High,Used in Last Week,Used in Last Decade,Never Used,Used in Last Week,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
18-24,Male,"Some college or university, no certificate or degree",USA,White,Average,Average,Average,Average,Low,Average,Average,Used in Last Week,Used in Last Year,Never Used,Used in Last Week,Used in Last Day,Used in Last Decade,Used in Last Day,Never Used,Never Used,Used in Last Week,Never Used,Never Used,Used in Last Week,Used in Last Decade,Never Used,Used in Last Week,Used in Last Week,Never Used,Never Used
18-24,Male,"Some college or university, no certificate or degree",USA,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Month,Used in Last Year,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Week,Used in Last Year,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Year,Used in Last Week,Never Used,Never Used
25-34,Male,University degree,Canada,White,Average,Average,Average,Low,Average,Average,Low,Never Used,Used in Last Day,Never Used,Never Used,Used in Last Year,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used
25-34,Male,Left school before 18 years,USA,White,Average,Low,Average,Average,Average,Low,Average,Used in Last Week,Never Used,Never Used,Used in Last Year,Used in Last Day,Used in Last Day,Used in Last Year,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Never Used,Used in Last Week,Used in Last Year,Used in Last Day,Never Used,Never Used
18-24,Male,"Some college or university, no certificate or degree",USA,White,High,Low,Low,Average,Low,Average,High,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Month,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used,Used in Last Year,Used in Last Day,Never Used,Never Used
25-34,Female,University degree,Other,White,Average,Low,Average,Average,Low,Average,Average,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
18-24,Male,"Some college or university, no certificate or degree",USA,White,Average,Average,High,Average,Average,High,High,Used in Last Week,Used in Last Month,Used in Last Month,Used in Last Month,Used in Last Week,Used in Last Day,Used in Last Month,Used in Last Week,Never Used,Used in Last Month,Used in Last Day,Never Used,Used in Last Month,Used in Last Year,Used in Last Month,Used in Last Month,Used in Last Week,Never Used,Never Used
18-24,Male,"Some college or university, no certificate or degree",USA,White,Average,Average,Average,Low,Average,Average,Average,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Week,Never Used,Never Used,Used in Last Decade,Never Used,Used in Last Month,Used in Last Decade,Used in Last Month,Used in Last Decade,Used in Last Year,Used in Last Decade,Never Used,Never Used
18-24,Male,Left school at 18 years,USA,Mixed-White/Asian,Average,Average,Average,Low,Average,Average,High,Used in Last Week,Used in Last Year,Never Used,Used in Last Month,Used in Last Day,Used in Last Day,Never Used,Used in Last Year,Used in Last Year,Used in Last Year,Used in Last Week,Used in Last Year,Used in Last Year,Used in Last Year,Used in Last Week,Used in Last Year,Used in Last Day,Never Used,Used in Last Year
25-34,Male,"Some college or university, no certificate or degree",USA,White,Average,Low,Average,Low,Low,Average,Average,Used in Last Year,Used in Last Decade,Never Used,Used in Last Week,Used in Last Day,Used in Last Day,Used in Last Month,Used in Last Year,Never Used,Used in Last Decade,Never Used,Never Used,Used in Last Decade,Used in Last Decade,Used in Last Week,Used in Last Decade,Used in Last Day,Never Used,Used in Last Decade
18-24,Female,Left school at 18 years,UK,White,Low,Average,Average,Low,Low,High,Average,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Week,Used in Last Month,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Decade
45-54,Male,University degree,UK,White,Average,High,High,High,High,Average,Average,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
18-24,Male,Professional certificate/ diploma,USA,Other,Average,Average,Average,Low,High,Average,High,Used in Last Day,Never Used,Used in Last Decade,Used in Last Year,Used in Last Day,Used in Last Day,Used in Last Week,Used in Last Year,Used in Last Year,Never Used,Used in Last Month,Never Used,Used in Last Year,Used in Last Month,Never Used,Used in Last Week,Never Used,Never Used,Never Used
18-24,Male,"Some college or university, no certificate or degree",Canada,Mixed-White/Black,Low,Average,Average,Low,Average,Average,Average,Used in Last Year,Used in Last Year,Never Used,Never Used,Used in Last Year,Used in Last Year,Used in Last Week,Never Used,Used in Last Decade,Used in Last Year,Never Used,Used in Last Week,Used in Last Week,Used in Last Year,Never Used,Used in Last Year,Used in Last Year,Never Used,Never Used
45-54,Male,University degree,Australia,White,Low,Average,Average,Low,Average,Average,Average,Used in Last Week,Used in Last Month,Used in Last Decade,Used in Last Month,Used in Last Day,Used in Last Year,Used in Last Week,Used in Last Year,Never Used,Used in Last Month,Never Used,Never Used,Used over a Decade Ago,Used in Last Year,Never Used,Never Used,Never Used,Never Used,Never Used
18-24,Male,"Some college or university, no certificate or degree",Canada,White,Low,High,Average,Average,Average,Average,Average,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Never Used,Used in Last Month,Used in Last Decade,Never Used,Never Used
18-24,Male,"Some college or university, no certificate or degree",Other,White,Average,Low,Average,Average,Low,Low,Average,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Year,Used in Last Year,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Used in Last Week,Never Used,Never Used,Used in Last Year,Never Used,Never Used
18-24,Female,"Some college or university, no certificate or degree",Canada,White,Average,Average,Average,Average,Low,Low,Average,Used in Last Month,Used in Last Day,Never Used,Never Used,Used in Last Week,Used in Last Year,Used in Last Month,Used in Last Year,Never Used,Used in Last Month,Never Used,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Used in Last Decade
18-24,Male,"Some college or university, no certificate or degree",Australia,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Week,Used in Last Month,Used in Last Year,Used in Last Month,Used in Last Day,Used in Last Day,Used in Last Day,Never Used,Used in Last Decade,Used in Last Month,Never Used,Used in Last Decade,Used in Last Month,Used in Last Week,Never Used,Used in Last Month,Used in Last Week,Never Used,Used in Last Month
35-44,Female,Professional certificate/ diploma,UK,White,Average,Average,Low,Average,Average,High,Average,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Never Used
25-34,Male,Professional certificate/ diploma,USA,White,High,Average,Average,Average,Average,Average,Average,Used in Last Day,Used in Last Day,Never Used,Used in Last Week,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Week,Used in Last Month,Used in Last Week,Used in Last Year,Used in Last Day,Never Used,Never Used
18-24,Male,Professional certificate/ diploma,Canada,White,Average,High,High,Average,Low,Average,Average,Used in Last Week,Used in Last Month,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Month,Never Used,Never Used,Used in Last Week,Never Used,Never Used,Used in Last Month,Used in Last Year,Never Used,Used in Last Year,Never Used,Never Used,Never Used
18-24,Male,"Some college or university, no certificate or degree",USA,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Week,Used in Last Month,Used in Last Year,Used in Last Decade,Used in Last Week,Used in Last Week,Used in Last Day,Used in Last Decade,Never Used,Used in Last Month,Never Used,Never Used,Used in Last Week,Used in Last Year,Never Used,Used in Last Year,Used in Last Year,Never Used,Never Used
25-34,Female,Masters degree,USA,White,Average,High,Average,Average,Low,Average,Average,Used in Last Week,Used in Last Week,Never Used,Used in Last Week,Used in Last Week,Used in Last Week,Used in Last Day,Used in Last Month,Never Used,Used in Last Year,Never Used,Used in Last Year,Never Used,Used in Last Decade,Used in Last Month,Used in Last Month,Used in Last Decade,Never Used,Never Used
18-24,Female,"Some college or university, no certificate or degree",Other,White,Low,Average,Average,Low,Low,Average,Average,Used in Last Month,Never Used,Never Used,Used in Last Month,Used in Last Day,Used in Last Year,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Month,Never Used,Used in Last Month,Used in Last Year,Never Used,Never Used
18-24,Female,Professional certificate/ diploma,USA,White,High,Average,Average,Low,Average,Average,Average,Used in Last Month,Used in Last Year,Never Used,Used in Last Day,Used in Last Month,Used in Last Week,Used in Last Week,Used in Last Year,Never Used,Used in Last Year,Used in Last Decade,Never Used,Used in Last Year,Never Used,Used in Last Day,Used in Last Decade,Used in Last Day,Never Used,Used in Last Decade
18-24,Female,Left school at 18 years,USA,White,High,Average,Average,Low,Average,Average,High,Used in Last Day,Used in Last Year,Never Used,Used in Last Year,Used in Last Week,Used in Last Day,Used in Last Week,Used in Last Month,Never Used,Used in Last Day,Never Used,Never Used,Used in Last Day,Used in Last Month,Never Used,Used in Last Year,Used in Last Day,Never Used,Used in Last Year
18-24,Male,"Some college or university, no certificate or degree",USA,White,Average,Average,Average,Average,Average,High,High,Used in Last Week,Used in Last Year,Never Used,Used in Last Week,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Year,Used in Last Year,Used in Last Year,Never Used,Used in Last Year,Used in Last Year,Used in Last Year,Used in Last Week,Used in Last Year,Used in Last Day,Never Used,Never Used
25-34,Male,Doctorate degree,USA,White,Average,Low,Low,Average,Average,Average,Low,Used in Last Week,Never Used,Used in Last Decade,Never Used,Used in Last Week,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
18-24,Female,"Some college or university, no certificate or degree",USA,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Week,Used in Last Decade,Never Used,Never Used,Used in Last Week,Used in Last Year,Used in Last Week,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Week,Never Used,Used in Last Month,Used in Last Year,Never Used,Never Used,Never Used
18-24,Male,University degree,USA,White,Average,High,Average,Average,Average,Average,High,Used in Last Day,Used in Last Week,Never Used,Used in Last Month,Used in Last Day,Used in Last Week,Used in Last Year,Used in Last Month,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Year,Used in Last Day,Never Used,Used in Last Decade
25-34,Female,University degree,USA,White,Average,Average,High,Average,Low,Average,Average,Used in Last Week,Used in Last Year,Never Used,Used in Last Year,Used in Last Day,Used in Last Day,Used in Last Month,Used in Last Decade,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Year,Never Used,Never Used
35-44,Male,Left school before 18 years,USA,White,High,Average,Average,Average,Low,Low,Average,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Year,Used in Last Year,Used in Last Day,Used in Last Decade,Used in Last Decade,Used in Last Year,Used over a Decade Ago,Never Used,Used in Last Decade,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Used over a Decade Ago
18-24,Male,"Some college or university, no certificate or degree",USA,Mixed-White/Black,Low,High,High,Average,Average,Average,Average,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Year,Used in Last Week,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Never Used
18-24,Female,Left school at 18 years,USA,White,Average,Average,High,Average,Average,Average,Average,Used in Last Day,Used in Last Year,Never Used,Used in Last Decade,Used in Last Month,Used in Last Day,Used in Last Week,Used in Last Year,Used in Last Year,Used in Last Year,Never Used,Used in Last Year,Used in Last Year,Used in Last Year,Used in Last Decade,Used in Last Year,Used in Last Year,Never Used,Never Used
18-24,Female,University degree,Other,Other,High,Low,High,Low,Average,High,High,Used in Last Day,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Week,Used in Last Day,Used in Last Month,Used in Last Year,Never Used,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Decade
18-24,Female,"Some college or university, no certificate or degree",Other,White,High,Average,Average,Average,Average,Average,Average,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
18-24,Male,University degree,UK,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Week,Used in Last Month,Used in Last Month,Used in Last Year,Used in Last Day,Used in Last Month,Used in Last Month,Used in Last Week,Never Used,Used in Last Month,Never Used,Used in Last Week,Used in Last Week,Never Used,Used in Last Week,Used in Last Year,Used in Last Day,Never Used,Never Used
18-24,Male,"Some college or university, no certificate or degree",USA,White,Average,Low,Average,Average,Average,Low,Low,Used in Last Month,Used in Last Decade,Never Used,Used in Last Year,Used in Last Decade,Used in Last Day,Used in Last Month,Used in Last Year,Never Used,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Year,Used in Last Year,Used in Last Year,Used in Last Year,Never Used,Never Used
55+,Male,Masters degree,USA,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Week,Used over a Decade Ago,Used over a Decade Ago,Used in Last Year,Used in Last Day,Used over a Decade Ago,Used in Last Day,Used over a Decade Ago,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used over a Decade Ago
45-54,Female,Masters degree,UK,White,Low,Average,High,Average,Average,Average,Low,Used in Last Week,Never Used,Never Used,Used over a Decade Ago,Used in Last Day,Used over a Decade Ago,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
18-24,Male,University degree,USA,White,Average,Average,Average,Average,High,Average,Average,Used in Last Month,Never Used,Never Used,Used in Last Month,Used in Last Day,Used in Last Day,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Never Used,Never Used,Never Used
